,2012,2013,2014,2015,2016,2017,2018,2019
三六零,7.7064,7.7392,8.8817,8.8083,7.0114,3.2331,26.7212,46.3318
招商南油,,,,,,,,21.963
新坐标,,,,,,38.7928,34.5129,40.082
国检集团,,,,,19.2138,20.6303,22.1062,21.4132
博通集成,,,,,,,,21.4852
昭衍新药,,,,,,25.3739,26.4647,27.8726
养元饮品,,,,,,,34.8342,36.1334
汇顶科技,,,,,27.8208,24.0913,19.9527,35.7989
迎驾贡酒,,,,18.1221,22.4898,21.2552,22.3377,24.6637
快克股份,,,,,36.0563,36.3814,36.3304,37.695
鸿远电子,,,,,,,,26.4276
银都股份,,,,,,14.5322,16.7181,17.2324
海天味业,,,21.2882,22.2202,22.8207,24.2142,25.6343,27.055999999999997
华铁应急,,,,21.0302,24.787,22.8232,14.9301,34.3899
天味食品,,,,,,,,17.1925
福蓉科技,,,,,,,,20.242
浙江鼎力,,,,26.2444,25.1901,24.8551,28.1381,29.0489
百傲化学,,,,,,24.3399,27.4655,35.1878
今世缘,,,26.7557,28.1459,29.4967,30.3287,30.8011,29.9416
三美股份,,,,,,,,16.4006
基蛋生物,,,,,,39.6618,36.5244,36.1439
新天然气,,,,,22.2373,25.9491,25.7528,33.998000000000005
集友股份,,,,,,42.3955,25.6148,30.2974
吉比特,,,,,,50.9923,55.5002,49.1265
勘设股份,,,,,,17.0976,16.4013,16.8733
八方股份,,,,,,,,27.063000000000002
金石资源,,,,,,20.4118,23.4068,27.8401
思维列控,,,,36.7663,31.9872,28.1552,35.3252,89.1236
绝味食品,,,,,,12.9158,14.4367,15.2929
伟明环保,,,,43.1595,47.3994,49.2359,47.7053,47.6858
捷昌驱动,,,,,,,22.7541,20.1452
苏利股份,,,,,19.0618,21.1978,25.8932,22.5063
地素时尚,,,,,,,27.3328,26.2514
口子窖,,,,23.4286,27.6825,30.9124,35.9025,36.8188
麒盛科技,,,,,,,,15.5799
艾迪精密,,,,,,21.7809,22.0618,23.7225
安图生物,,,,,35.6815,32.1172,29.7982,29.3681
亿嘉和,,,,,,,36.4342,35.3957
宁水集团,,,,,,,,15.4858
健友股份,,,,,,28.239,24.9686,24.5475
日辰股份,,,,,,,,29.8518
大元泵业,,,,,,15.9745,15.043,15.0377
永安行,,,,,,48.9732,14.0826,53.4212
科博达,,,,,,,,18.4071
歌力思,,,,19.1363,19.6369,17.2676,18.0349,15.6329
诚意药业,,,,,,20.311,17.8456,19.2243
好太太,,,,,,18.4973,19.8885,22.3037
飞科电器,,,,,18.2298,21.678,21.2157,18.1818
好莱客,,,,15.0132,17.6037,18.677,17.9227,15.9694
克来机电,,,,,,20.0424,13.376,15.5447
丸美股份,,,,,,,,28.4764
兆易创新,,,,,11.732999999999999,19.5863,17.9882,18.8976
中电电机,,,16.4417,15.475999999999999,10.2181,10.7564,11.2543,18.6633
杭可科技,,,,,,,,22.1768
澜起科技,,,,,,,,53.6824
心脉医疗,,,,,,,,42.4759
乐鑫科技,,,,,,,,20.9268
南微医学,,,,,,,,24.1039
天宜上佳,,,,,,,,46.5014
柏楚电子,,,,,,,,65.4505
卓越新能,,,,,,,,16.652
建龙微纳,,,,,,,,21.1846
祥生医疗,,,,,,,,28.4329
华熙生物,,,,,,,,31.0047
嘉元科技,,,,,,,,22.8018
