,2012,2013,2014,2015,2016,2017,2018,2019
宁沪高速,9.2972,10.5371,9.7544,8.1035,9.4481,9.3505,9.8698,8.2871
盘江股份,11.675,2.2445,2.4692,0.2178,1.7922,7.2946,7.449,7.9441
华鲁恒升,3.9852,4.0113,6.3271,7.3374,7.0564,8.3624,17.415,13.3157
片仔癀,18.4543,15.7047,12.6761,12.0277,11.1477,14.6064,18.3443,17.9323
涪陵电力,3.283,6.9933,9.1571,18.0145,6.755,5.7606,7.8808,8.2902
贵州茅台,35.0654,31.785999999999998,26.819000000000003,21.6265,17.9994,23.4353,25.6945,25.6468
法拉电子,15.6952,16.8322,16.5416,16.0571,17.0388,16.9905,16.2345,14.9628
济川药业,-3.5446,26.7829,19.3364,19.6775,21.7978,21.0117,23.3455,19.7179
恒生电子,11.8089,16.246,13.2236,12.8115,-1.2257,8.3321,11.2418,19.4213
海螺水泥,7.5349,10.8643,11.8636,7.3334,8.3148,14.1837,22.5522,20.9256
用友网络,6.6647,8.4963,7.1015,3.477,2.1164,4.2768,5.5388,8.0668
尖峰集团,6.9382,7.9151,9.1741,6.0347,8.1001,9.4758,14.8197,15.495
百川能源,1.9556,-3.1774,1.7861,-2.3731,30.5893,16.5294,12.6749,8.2105
舍得酒业,10.9921,0.3427,0.3779,0.1916,2.076,3.2804,7.8164,10.1399
祁连山,1.839,5.1246,5.1059,1.2453,1.2576,5.0858,6.9422,12.8106
宁波富达,2.5791,2.4329,1.4036,-6.1233,1.6288,-5.9575,8.2526,10.5188
通策医疗,20.9423,17.7908,15.8332,18.2412,10.156,14.7172,18.2929,21.1903
中国海防,4.54,0.8979,1.2401,-9.1028,1.5768,6.303999999999999,4.3706,14.6823
宁波富邦,0.7414,-5.4345,0.3657,-7.9683,2.7547,10.892000000000001,-5.0842,23.5209
水井坊,13.0907,-6.4408,-22.7214,5.1493,11.2444,13.4399,19.3574,23.1323
华新水泥,3.022,5.6785,5.7584,0.8754,2.3466,7.6365,17.9247,20.1149
福建水泥,0.6522,0.6947,1.4471,-10.2489,-1.1792,-6.0489,10.1841,12.6802
山西汾酒,25.1656,16.5216,6.1688,8.674,9.0854,12.2785,15.0215,14.7227
