TimeStamp,ASP,EQ,free_tw
2024-01-26T08:40:26.329,ASP-1732-Disp_1,L2_LO_UL_0,4476
2024-01-26T08:40:26.329,ASP-1732-Disp_1,L2_LO_DL_RCV0,4482
2024-01-26T08:40:26.329,ASP-1732-Disp_1,L2_LO_UL_0,4477
2024-01-26T08:40:26.809,ASP-1732-Disp_1,L2_LO_UL_0,4476
2024-01-26T08:40:26.809,ASP-1732-Disp_1,L2_LO_DL_RCV0,4481
2024-01-26T08:40:26.829,ASP-1732-Disp_1,L2_LO_DL_RCV0,4480
2024-01-26T08:40:26.829,ASP-1732-Disp_1,L2_LO_UL_0,4475
2024-01-26T08:40:26.858,ASP-1732-Disp_1,L2_LO_DL_RCV0,4480
2024-01-26T08:40:26.858,ASP-1732-Disp_1,L2_LO_UL_0,4475
2024-01-26T08:40:27.069,ASP-1732-Disp_1,L2_LO_UL_0,4473
2024-01-26T08:40:27.078,ASP-1732-Disp_1,L2_LO_DL_RCV0,4478
2024-01-26T08:40:27.078,ASP-1732-Disp_1,L2_LO_UL_0,4473
2024-01-26T08:40:28.236,ASP-1732-Disp_1,L2_LO_DL_RCV0,4483
2024-01-26T08:40:28.236,ASP-1732-Disp_1,L2_LO_UL_0,4478
2024-01-26T08:40:28.263,ASP-1732-Disp_1,L2_LO_DL_RCV0,4484
2024-01-26T08:40:28.263,ASP-1732-Disp_1,L2_LO_UL_0,4479
2024-01-26T08:40:28.653,ASP-1732-Disp_1,L2_LO_UL_0,4479
2024-01-26T08:40:28.653,ASP-1732-Disp_1,L2_LO_DL_RCV0,4485
2024-01-26T08:40:29.149,ASP-1732-Disp_1,L2_LO_DL_RCV0,4484
2024-01-26T08:40:30.741,ASP-1732-Disp_1,L2_LO_DL_RCV0,4491
2024-01-26T08:40:30.741,ASP-1732-Disp_1,L2_LO_UL_0,4483
2024-01-26T08:40:30.746,ASP-1732-Disp_1,L2_LO_UL_0,4483
2024-01-26T08:40:30.746,ASP-1732-Disp_1,L2_LO_DL_RCV0,4491
2024-01-26T08:40:30.749,ASP-1732-Disp_1,L2_LO_DL_RCV0,4491
2024-01-26T08:40:31.001,ASP-1732-Disp_1,L2_LO_DL_RCV0,4486
2024-01-26T08:40:31.080,ASP-1732-Disp_1,L2_LO_DL_RCV0,4485
