,2019,2018,2017,2016,2015,2014,2013,2012,industry
贵研铂业,25.0729,10.5724,43.3273,39.1461,12.527999999999999,26.7963,28.4117,41.5469,有色金属冶炼和压延加工业
洪城水业,22.9168,23.5198,14.6531,0.0277,11.681,21.96,14.034,4.8649,水的生产和供应业
蓝光发展,27.1674,25.5264,15.1167,21.1977,14.8865,5.8872,3.2661,14.984000000000002,房地产业
千金药业,5.909,4.5813,11.095,17.0926,11.5048,11.2216,24.5943,26.0158,医药制造业
安徽建工,21.7306,9.507,3.1807,25.4347,8.8079,23.445999999999998,4.9619,22.1584,土木工程建筑业
国药股份,15.2418,6.7662,4.8372,10.8313,4.6788,14.4509,17.3406,22.0013,批发业
贵州茅台,16.0115,26.4885,49.8059,18.9917,3.4385,2.109,16.883,43.7606,酒、饮料和精制茶制造业
华海药业,5.761,1.8511,22.2131,16.9266,35.4112,12.5666,14.0001,10.2197,医药制造业
中天科技,14.2893,25.2708,28.3943,27.7493,73.23,27.6165,16.5019,19.25,电气机械和器材制造业
山东药玻,15.7748,10.905,13.2694,19.3979,1.8978,9.4894,5.2076,5.0756,非金属矿物制品业
天士力,5.6076,11.7769,15.4075,5.4746,5.2102,13.2371,18.7981,41.563,医药制造业
康缘药业,19.3786,16.7682,9.1465,6.376,10.0478,14.9139,17.1763,23.7743,医药制造业
老白干酒,12.4738,41.343999999999994,3.9631,4.3894,10.7459,16.9996,8.187999999999999,17.8663,酒、饮料和精制茶制造业
用友网络,10.4649,21.4362,24.0607,14.8739,1.761,0.2648,3.01,2.7425,软件和信息技术服务业
尖峰集团,5.5119,18.9505,18.807000000000002,5.3394,0.068,4.9085,30.4593,0.2618,非金属矿物制品业
欧亚集团,7.2269,11.575999999999999,7.3545,0.9191,11.8078,11.8945,20.0733,23.4578,零售业
均胜电子,9.8218,111.162,43.4078,129.537,14.207,15.9452,13.9101,58.1065,汽车制造业
中航资本,40.1671,30.5178,35.8866,28.1299,15.7466,50.7527,19.4166,49.0647,其他金融业
盛屯矿业,9.9902,48.5191,62.8179,90.7839,98.9869,64.3112,48.7913,304.3258,有色金属矿采选业
南京医药,18.6969,8.6524,2.8179,7.6871,12.3996,14.7632,3.9589999999999996,4.9647,零售业
佳都科技,7.0875,8.5388,51.3926,6.7873,17.7659,7.0619,31.4646,15.5771,软件和信息技术服务业
通策医疗,22.5204,31.0509,34.2486,15.1269,30.5872,26.0845,22.186999999999998,19.9457,卫生
隧道股份,17.0595,18.2063,9.3587,7.5562,5.4338,8.1727,6.8769,11.6681,土木工程建筑业
四川长虹,6.4851,6.6832,15.5669,3.5892,8.7688,1.0677,12.4988,0.6362,计算机、通信和其他电子设备制造业
中炬高新,12.2017,15.4346,14.2934,14.4786,4.4168,13.9637,32.1405,1.0909,食品制造业
创业环保,16.504,13.9258,9.6839,1.2646,5.8054,4.47,6.8735,4.7892,水的生产和供应业
伊利股份,13.9697,16.9199,11.9967,0.7492,10.9419,12.9355,13.7844,12.1206,食品制造业
郴电国际,9.829,8.7886,4.4194,4.9967,1.3515,3.366,4.7689,12.9448,电力、热力生产和供应业
九州通,14.1855,17.8428,20.1213,24.1334,20.7479,22.8194,13.3199,18.7972,批发业
唐山港,10.5638,33.1829,16.6067,9.0952,0.5997,12.6752,15.1576,31.7775,水上运输业
北京银行,13.7705,10.198,6.1046,7.6564,19.532,20.2844,10.2395,34.2012,货币金融服务
中国铁建,13.7414,7.2163,8.2078,4.7938,1.2196,0.8826,21.1592,5.8917,土木工程建筑业
中国平安,19.659000000000002,9.6477,25.0443,14.9136,33.9413,27.6455,21.1306,20.2708,保险业
中国中铁,15.0094,6.9236,7.9039,2.9494,1.7630000000000001,9.2215,15.767999999999999,5.0004,土木工程建筑业
中国太保,8.7836,10.8046,19.7621,8.0145,12.478,13.7938,12.6485,8.5586,保险业
上海医药,17.2747,21.5803,8.3489,14.4509,14.1968,18.1227,14.9016,24.0041,零售业
旗滨集团,11.0697,10.4588,8.9649,34.6554,3.6357,5.4075,31.3432,31.8652,非金属矿物制品业
中国建筑,18.3864,13.7764,9.8296,8.9928,10.0682,17.342,19.1652,16.3296,土木工程建筑业
中国电建,17.9975,10.6862,11.4768,13.1682,11.0459,15.3638,13.9948,11.9552,土木工程建筑业
星宇股份,20.0575,19.2379,27.1453,35.638000000000005,22.3953,23.5079,23.8318,20.1037,汽车制造业
中国交建,13.0218,1.671,11.8267,6.7561,10.2945,10.2821,12.2404,0.2881,土木工程建筑业
紫金矿业,28.4013,12.1055,19.9077,6.1202,26.4515,18.0606,2.8024,21.7554,有色金属矿采选业
凤凰传媒,6.7585,6.6804,4.7786,4.9838,4.4458,25.7544,9.0976,11.2672,新闻和出版业
永辉超市,20.3644,20.3534,19.0115,16.8154,14.7522,20.2469,23.7337,39.2112,零售业
中信银行,13.788,5.1982,1.8616,5.9579,16.3716,19.2793,16.9095,16.2278,货币金融服务
喜临门,15.6845,32.1136,43.7615,31.3895,30.753,26.2903,13.9088,7.0236,家具制造业
